Transaction Date,Post Date,Description,Category,Type,Amount
03/11/2019,03/12/2019,OUTBACK 4612,Food & Drink,Sale,-80.00
03/10/2019,03/11/2019,AUNTIE ANNE'S WA101,Food & Drink,Sale,-11.43
03/09/2019,03/11/2019,COSTCO GAS #1225,Gas,Sale,-42.17
03/10/2019,03/11/2019,COSTCO WHSE #0008,Shopping,Sale,-189.09
03/10/2019,03/11/2019,WAL-MART #3098,Groceries,Sale,-32.33
03/10/2019,03/11/2019,EXPRESS#0153,Shopping,Sale,-259.05
03/08/2019,03/10/2019,MS CAFE 50    19097476,Food & Drink,Sale,-12.09
03/07/2019,03/10/2019,MS CAFE 50    19097476,Food & Drink,Sale,-9.89
03/09/2019,03/10/2019,GOOGLE *YouTubePremium,Bills & Utilities,Sale,-11.99
03/08/2019,03/10/2019,AMZN Mktp US*MI4LR42D2,Shopping,Sale,-103.99
03/09/2019,03/10/2019,WHOLEFDS RMD 10260,Groceries,Sale,-75.30
03/06/2019,03/08/2019,GOODWILL BELLEVUE - DI,Shopping,Sale,-35.15
03/07/2019,03/08/2019,QFC 5820,Groceries,Sale,-9.18
03/05/2019,03/07/2019,MS CAFE 50    19097476,Food & Drink,Sale,-8.20
03/06/2019,03/07/2019,CHIPOTLE 1364,Food & Drink,Sale,-17.27
03/05/2019,03/07/2019,ROSS STORES #1424,Shopping,Sale,-114.32
03/06/2019,03/06/2019,WAVE,Bills & Utilities,Sale,-72.97
03/05/2019,03/06/2019,24 Hour Fitness USA  I,Health & Wellness,Sale,-45.98
02/22/2019,03/05/2019,AMERICAN AIR0012338715651,Travel,Return,577.63
03/04/2019,03/05/2019,QFC 5820,Groceries,Sale,-8.46
03/03/2019,03/05/2019,LINCOLN SOUTH FOOD HALL,Food & Drink,Sale,-32.45
03/02/2019,03/04/2019,IKEA SEATTLE,Home,Sale,-580.02
03/03/2019,03/04/2019,MACYS  BELLEVUE (WA),Shopping,Sale,-43.60
03/03/2019,03/04/2019,QFC 5820,Groceries,Sale,-37.26
03/03/2019,03/04/2019,WAL-MART #3098,Groceries,Sale,-46.35
03/02/2019,03/03/2019,TST* TAVERN HALL,Food & Drink,Sale,-35.75
03/01/2019,03/03/2019,DICKSSPORTINGGOODS1331,Shopping,Sale,-65.90
03/01/2019,03/03/2019,TROPEA RISTORANTE ITALIAN,Food & Drink,Sale,-55.99
03/02/2019,03/03/2019,IKEA SEATTLE,Food & Drink,Sale,-23.06
03/03/2019,03/03/2019,IKEA SEATTLE,Food & Drink,Sale,-6.49
02/28/2019,03/03/2019,HLU*Hulu 1230741723850-U,Bills & Utilities,Sale,-13.17
02/28/2019,03/03/2019,PHO HOA  JAZEN TEA,Food & Drink,Sale,-31.00
02/28/2019,03/03/2019,QFC 5820,Groceries,Sale,-27.09
02/28/2019,03/01/2019,OLD NAVY US 5655,Shopping,Sale,-33.47
02/28/2019,03/01/2019,Payment Thank You - Web,,Payment,5818.66
02/27/2019,03/01/2019,BARTELL DRUG 52-RDMND TC,Health & Wellness,Sale,-12.09
02/27/2019,03/01/2019,BED BATH &amp; BEYOND #184,Home,Sale,-13.18
02/27/2019,03/01/2019,MS CAFE 50    19097476,Food & Drink,Sale,-8.79
02/27/2019,02/28/2019,MACYS  REDMOND,Shopping,Sale,-14.28
02/27/2019,02/28/2019,MACYS  REDMOND,Shopping,Sale,-37.05
02/27/2019,02/28/2019,TARGET        00009951,Shopping,Sale,-82.92
02/27/2019,02/28/2019,CROSSROADS BARBER SHOP,Personal,Sale,-24.00
02/27/2019,02/28/2019,DOUGH ZONE,Food & Drink,Sale,-54.39
02/26/2019,02/28/2019,CHEESECAKE BELLEVUE,Food & Drink,Sale,-11.85
02/25/2019,02/27/2019,0389 FOREVER 21,Shopping,Sale,-16.50
02/25/2019,02/27/2019,DSW BEAR CREEK VILLAGE,Shopping,Sale,-155.01
02/26/2019,02/27/2019,TST* HOMEGROWN 1007,Food & Drink,Sale,-33.00
02/26/2019,02/27/2019,LIVING WELL HEALTH CENT #,Health & Wellness,Sale,-5.52
02/25/2019,02/26/2019,COSTCO WHSE #1225,Shopping,Sale,-390.38
02/25/2019,02/26/2019,QFC 5820,Groceries,Sale,-59.13
02/25/2019,02/26/2019,SQ *MOLLY MOON'S REDMOND,Food & Drink,Sale,-7.08
02/26/2019,02/26/2019,AMZ*The Seattle Time,Entertainment,Sale,-1.00
02/25/2019,02/26/2019,TARGET        00009951,Shopping,Sale,-48.37
02/24/2019,02/26/2019,DENVER AIRPORT,Food & Drink,Sale,-37.79
02/24/2019,02/26/2019,652 FLIGHT TERMINAL A,Shopping,Sale,-2.49
02/25/2019,02/26/2019,PINKBERRY 5032,Food & Drink,Sale,-9.21
02/25/2019,02/26/2019,QFC 5820,Groceries,Sale,-5.27
02/24/2019,02/25/2019,AA INFLIGHT VISA FACET 4,Groceries,Sale,-4.00
02/25/2019,02/25/2019,UBER   *TRIP,Travel,Sale,-52.11
02/24/2019,02/25/2019,EL TOREADOR MEXICAN REST,Food & Drink,Sale,-45.70
